time_s,x_m,y_m,yaw_rad,vx_m_s,vy_m_s,wz_rad_s
1.516822338104248,0.0,0.0,0.0,-7.044538088240705e-32,-1.5687569754308074e-35,-4.192244837132721e-88
1.6167218685150146,0.0,0.0,0.0,-6.619222152564038e-32,-1.474042838921182e-35,3.2360010111171065e-88
1.7166767120361328,0.0,0.0,0.0,-6.207950022384087e-32,-1.3824561354582603e-35,-2.824550119176426e-88
1.8167316913604736,0.0,0.0,0.0,-5.833262628397335e-32,-1.2990165325017365e-35,-3.7020074619934815e-88
1.9166760444641113,0.0,0.0,0.0,-5.470158087382556e-32,-1.2181563287755035e-35,2.76270786427032e-88
2.0166478157043457,0.0,0.0,0.0,-5.140334739358983e-32,-1.1447075561933243e-35,-1.0632962813622419e-88
2.116734027862549,0.0,0.0,0.0,-4.8206985284367727e-32,-1.0735273697973741e-35,4.083898483774093e-89
2.217071294784546,0.0,0.0,0.0,-4.5299000890542496e-32,-1.008769102208399e-35,-4.2762831896404375e-88
2.3170464038848877,0.0,0.0,0.0,-4.248327367851474e-32,-9.460653220184824e-36,-1.8296905786188548e-88
2.4167304039001465,0.0,0.0,0.0,-3.99183105207917e-32,-8.88945837000828e-36,1.182176776639534e-88
2.516780376434326,0.0,0.0,0.0,-3.743692030484295e-32,-8.33687448703508e-36,1.9676520667205494e-89
2.616968870162964,0.0,0.0,0.0,-3.517752795972437e-32,-7.833727587117165e-36,1.4310094680342777e-88
2.716630220413208,0.0,0.0,0.0,-3.2990912570602174e-32,-7.346787480258516e-36,-2.709569742513882e-88
2.8166942596435547,0.0,0.0,0.0,-3.099911160769414e-32,-6.903230836772372e-36,-5.1294612137805686e-89
2.916698694229126,0.0,0.0,0.0,-2.9072234609752775e-32,-6.474132193887985e-36,1.9424666506657656e-89
3.016773223876953,0.0,0.0,0.0,-2.7316422804747266e-32,-6.083128272948404e-36,1.2879419506098085e-88
3.1168460845947266,0.0,0.0,0.0,-2.561916588606394e-32,-5.70516401435693e-36,-5.607760856282062e-89
3.216749429702759,0.0,0.0,0.0,-2.4073089249922125e-32,-5.3608662792747e-36,-3.1588453944142446e-89
3.3166823387145996,0.0,0.0,0.0,-2.257673683986012e-32,-5.027641694340667e-36,2.327643372292831e-89
3.416753053665161,0.0,0.0,0.0,-2.121186138368005e-32,-4.723695874552698e-36,-4.640882994693186e-90
3.517005681991577,0.0,0.0,0.0,-1.989513625388776e-32,-4.430472712141029e-36,4.327075078954625e-89
3.6167542934417725,0.0,0.0,0.0,-1.8693348654352034e-32,-4.162845133584002e-36,-6.18783777249322e-90
3.7166972160339355,0.0,0.0,0.0,-1.7531384811739843e-32,-3.904085955420744e-36,9.750071673944427e-90
3.8167805671691895,0.0,0.0,0.0,-1.647368254259979e-32,-3.668544918137555e-36,3.7097966038461384e-90
3.916738748550415,0.0,0.0,0.0,-1.5449478292353258e-32,-3.440463595138307e-36,-1.0875617528559933e-89
4.016839981079102,0.0,0.0,0.0,-1.451733689999433e-32,-3.232883865625276e-36,-7.42658057772149e-90
4.116698503494263,0.0,0.0,0.0,-1.361438892705723e-32,-3.031805255747905e-36,1.950514584246117e-89
4.217079162597656,0.0,0.0,0.0,-1.2792866724597057e-32,-2.8488594508014938e-36,1.2217811838406418e-89
4.317143678665161,0.0,0.0,0.0,-1.1997085592710518e-32,-2.671645958502573e-36,-4.831200884927407e-90
4.418313503265381,0.0,0.0,0.0,-1.1273166781196376e-32,-2.5104355749259346e-36,-7.214982044855368e-90
4.517130374908447,0.0,0.0,0.0,-1.0572246384642546e-32,-2.354346736850723e-36,1.3116962324220774e-89
