time_s,wz_rad_s,ax_m_s2,ay_m_s2
1.551368236541748,-0.0033307810152563544,-0.4644751220703125,-0.23223756103515625
1.569075107574463,-0.005995405827461438,-0.4836287353515625,-0.26336218261718747
1.5886752605438232,-0.0063950995492922,-0.5003881469726562,-0.22505495605468748
1.608489751815796,-0.007061255752343471,-0.4860229370117187,-0.22266075439453123
1.6284401416778564,-0.0035972434964768626,-0.5003881469726562,-0.239420166015625
1.6487860679626465,-0.0039969372183076245,-0.47644613037109373,-0.22026655273437498
1.6686394214630127,-0.0018652373685435584,-0.6105214233398437,-0.23223756103515625
1.6888694763183594,-0.001732006127933304,-0.47884033203125,-0.20829554443359374
1.709158182144165,-0.005196018383799912,-0.488417138671875,-0.22505495605468748
1.7287461757659912,-0.006128637068071691,-0.4740519287109375,-0.23223756103515625
1.7484681606292725,-0.005462480865020421,-0.5363011718749999,-0.22505495605468748
1.7695248126983643,-0.005462480865020421,-0.5051765502929687,-0.25139117431640623
1.7887318134307861,-0.006661562030512709,-0.5003881469726562,-0.2561795776367187
1.808666467666626,-0.005329249624410167,-0.4955997436523437,-0.26336218261718747
1.8287029266357422,-0.004529862180748642,-0.47884033203125,-0.23223756103515625
1.8486249446868896,-0.005462480865020421,-0.5147533569335937,-0.23223756103515625
1.8688428401947021,-0.0030643185340358454,-0.4955997436523437,-0.25139117431640623
1.888629674911499,-0.005995405827461438,-0.5243301635742187,-0.22744915771484372
1.9087607860565186,-0.006794793271122962,-0.5027823486328125,-0.19632453613281248
1.9287524223327637,-0.0035972434964768626,-0.47644613037109373,-0.23223756103515625
1.9486536979675293,-0.0095926493239383,-0.507570751953125,-0.24660277099609373
1.968601942062378,-0.005595712105630674,-0.4955997436523437,-0.24660277099609373
1.9886443614959717,-0.006128637068071691,-0.49799394531249996,-0.23702596435546874
2.0084869861602783,-0.005196018383799912,-0.5243301635742187,-0.22026655273437498
2.0285089015960693,-0.004396630940138387,-0.5363011718749999,-0.2346317626953125
2.048414468765259,-0.0039969372183076245,-0.4908113403320312,-0.2442085693359375
2.068455457687378,-0.0074609494741742334,-0.5027823486328125,-0.24899697265624998
2.088756561279297,-0.004663093421358896,-0.4955997436523437,-0.24181436767578124
2.1089155673980713,-0.0035972434964768626,-0.5291185668945312,-0.2561795776367187
2.128908634185791,-0.005062787143189658,-0.507570751953125,-0.26336218261718747
2.1485707759857178,-0.002797856052815337,-0.5291185668945312,-0.21787235107421873
2.1686649322509766,-0.006261868308681946,-0.4644751220703125,-0.26336218261718747
2.1886441707611084,-0.0019984686091538122,-0.5219359619140624,-0.21787235107421873
2.208526372909546,-0.0021316998497640663,-0.49320554199218747,-0.2609679809570312
2.228490114212036,-0.0029310872934255917,-0.5099649536132812,-0.258573779296875
2.2483320236206055,-0.004130168458917879,-0.4860229370117187,-0.23702596435546874
2.2686195373535156,-0.004929555902579405,-0.5267243652343749,-0.2442085693359375
2.2886598110198975,-0.006128637068071691,-0.4860229370117187,-0.24899697265624998
2.3088884353637695,-0.0035972434964768626,-0.5267243652343749,-0.2753331909179687
2.3288609981536865,-0.0026646248122050836,-0.5027823486328125,-0.24181436767578124
2.348613739013672,-0.005329249624410167,-0.49799394531249996,-0.2705447875976562
2.3686773777008057,-0.005462480865020421,-0.4908113403320312,-0.2442085693359375
2.388942003250122,-0.0026646248122050836,-0.4955997436523437,-0.22026655273437498
2.4086079597473145,-0.007727411955394742,-0.49320554199218747,-0.239420166015625
2.4284238815307617,-0.0030643185340358454,-0.51714755859375,-0.24660277099609373
2.448488473892212,-0.0073277182335639785,-0.5291185668945312,-0.19393033447265623
2.469062328338623,-0.005329249624410167,-0.48123453369140623,-0.2561795776367187
2.4886844158172607,-0.007061255752343471,-0.47644613037109373,-0.20350714111328125
2.5091094970703125,-0.0035972434964768626,-0.49320554199218747,-0.22744915771484372
2.5288174152374268,-0.005062787143189658,-0.5219359619140624,-0.21308394775390624
2.5499603748321533,-0.0063950995492922,-0.5243301635742187,-0.23223756103515625
2.5683646202087402,-0.005196018383799912,-0.4644751220703125,-0.2537853759765625
2.589061737060547,-0.005462480865020421,-0.5003881469726562,-0.20829554443359374
2.6086230278015137,-0.002797856052815337,-0.5243301635742187,-0.21787235107421873
2.628566265106201,-0.007727411955394742,-0.49799394531249996,-0.27293898925781246
2.6490931510925293,-0.004529862180748642,-0.49320554199218747,-0.23223756103515625
2.6688191890716553,-0.0019984686091538122,-0.5195417602539062,-0.18914193115234373
2.688993215560913,-0.00866003063966652,-0.507570751953125,-0.24181436767578124
2.7088747024536133,-0.005329249624410167,-0.4955997436523437,-0.2609679809570312
2.7284514904022217,-0.005462480865020421,-0.49320554199218747,-0.2346317626953125
2.748523235321045,-0.004130168458917879,-0.5003881469726562,-0.17956512451171874
2.7686197757720947,-0.005329249624410167,-0.46208092041015625,-0.23223756103515625
2.7885899543762207,-0.002398162330984575,-0.5051765502929687,-0.23702596435546874
2.808598279953003,-0.00479632466196915,-0.5051765502929687,-0.22026655273437498
2.828594207763672,-0.004396630940138387,-0.5051765502929687,-0.23223756103515625
2.848407030105591,-0.006528330789902454,-0.49799394531249996,-0.19632453613281248
2.8684568405151367,-0.006928024511733216,-0.488417138671875,-0.258573779296875
2.8887107372283936,-0.005062787143189658,-0.48123453369140623,-0.2154781494140625
2.908590793609619,-0.0074609494741742334,-0.5123591552734374,-0.24899697265624998
2.930375099182129,-0.004929555902579405,-0.4908113403320312,-0.2609679809570312
2.9484941959381104,-0.005062787143189658,-0.4860229370117187,-0.25139117431640623
2.9685797691345215,-0.001732006127933304,-0.49799394531249996,-0.239420166015625
2.988586664199829,-0.005462480865020421,-0.49320554199218747,-0.24181436767578124
3.0085504055023193,-0.008260336917835759,-0.507570751953125,-0.2537853759765625
3.0285751819610596,-0.002531393571594829,-0.47644613037109373,-0.2442085693359375
3.0485777854919434,-0.0019984686091538122,-0.4836287353515625,-0.20829554443359374
3.0685949325561523,-0.004396630940138387,-0.5051765502929687,-0.2059013427734375
3.088602304458618,-0.0058621745868511835,-0.5027823486328125,-0.24899697265624998
3.108478307723999,-0.0057289433462409285,-0.5291185668945312,-0.239420166015625
3.128462791442871,-0.008260336917835759,-0.5003881469726562,-0.21787235107421873
3.148836851119995,-0.004263399699528133,-0.488417138671875,-0.22026655273437498
3.168644905090332,-0.007061255752343471,-0.507570751953125,-0.21787235107421873
3.1885557174682617,-0.003464012255866608,-0.47884033203125,-0.239420166015625
3.2086424827575684,-0.006661562030512709,-0.5027823486328125,-0.21308394775390624
3.228506326675415,-0.006661562030512709,-0.4955997436523437,-0.22266075439453123
3.248481512069702,-0.0021316998497640663,-0.49320554199218747,-0.24660277099609373
3.2682583332061768,-0.0063950995492922,-0.5027823486328125,-0.22266075439453123
3.2887766361236572,-0.0057289433462409285,-0.5434837768554687,-0.24899697265624998
3.308479070663452,-0.006128637068071691,-0.469263525390625,-0.19871873779296872
3.3284082412719727,-0.005196018383799912,-0.507570751953125,-0.229843359375
3.3483355045318604,-0.004929555902579405,-0.51714755859375,-0.27293898925781246
3.3685479164123535,-0.006261868308681946,-0.5051765502929687,-0.22505495605468748
3.3888936042785645,-0.0058621745868511835,-0.5267243652343749,-0.2657563842773437
3.4086127281188965,-0.008526799399056265,-0.5123591552734374,-0.229843359375
3.428623914718628,-0.004663093421358896,-0.488417138671875,-0.2346317626953125
3.448526620864868,-0.004529862180748642,-0.47884033203125,-0.2442085693359375
3.4686028957366943,-0.005995405827461438,-0.49320554199218747,-0.22505495605468748
3.4888954162597656,-0.004130168458917879,-0.4955997436523437,-0.2346317626953125
3.508631706237793,-0.0030643185340358454,-0.4836287353515625,-0.2442085693359375
3.5286407470703125,-0.005462480865020421,-0.507570751953125,-0.22744915771484372
3.5492019653320312,-0.004263399699528133,-0.5410895751953124,-0.2059013427734375
3.5688083171844482,-0.004263399699528133,-0.469263525390625,-0.26336218261718747
3.589104413986206,-0.0058621745868511835,-0.3136404174804687,-0.2657563842773437
3.608457326889038,-0.004130168458917879,-0.5147533569335937,-0.21787235107421873
3.628682851791382,-0.004529862180748642,-0.5219359619140624,-0.2442085693359375
3.6486399173736572,-0.0037304747370871167,-0.488417138671875,-0.23702596435546874
3.668456792831421,-0.004130168458917879,-0.49320554199218747,-0.23702596435546874
3.688774585723877,-0.005329249624410167,-0.5363011718749999,-0.2442085693359375
3.7086379528045654,-0.007860643196004996,-0.4860229370117187,-0.21068974609375
3.7286345958709717,-0.001732006127933304,-0.51714755859375,-0.26815058593749996
3.748552083969116,-0.006128637068071691,-0.46208092041015625,-0.2154781494140625
3.7687063217163086,-0.004529862180748642,-0.5267243652343749,-0.2059013427734375
3.788648843765259,-0.004396630940138387,-0.488417138671875,-0.22026655273437498
3.8087542057037354,-0.0033307810152563544,-0.5243301635742187,-0.2753331909179687
3.8284711837768555,-0.0058621745868511835,-0.488417138671875,-0.2753331909179687
3.8484222888946533,-0.006128637068071691,-0.5243301635742187,-0.258573779296875
3.8688747882843018,-0.005329249624410167,-0.49320554199218747,-0.2561795776367187
3.8888099193573,-0.0058621745868511835,-0.48123453369140623,-0.22266075439453123
3.9085283279418945,-0.004663093421358896,-0.5003881469726562,-0.2346317626953125
3.928861379623413,-0.004396630940138387,-0.5243301635742187,-0.21308394775390624
3.9484763145446777,-0.005062787143189658,-0.5123591552734374,-0.2442085693359375
3.968475580215454,-0.004396630940138387,-0.4860229370117187,-0.2537853759765625
3.9889886379241943,-0.006128637068071691,-0.4860229370117187,-0.2609679809570312
4.00850510597229,-0.006128637068071691,-0.49799394531249996,-0.229843359375
4.028411865234375,-0.0057289433462409285,-0.49320554199218747,-0.19871873779296872
4.0482847690582275,-0.003863705977697371,-0.4908113403320312,-0.258573779296875
4.06843900680542,-0.004130168458917879,-0.4860229370117187,-0.22505495605468748
4.08857536315918,-0.004529862180748642,-0.4908113403320312,-0.23223756103515625
4.108515977859497,-0.0014655436467127959,-0.5051765502929687,-0.23702596435546874
4.128381967544556,-0.0095926493239383,-0.4955997436523437,-0.21308394775390624
4.1486124992370605,-0.0033307810152563544,-0.5051765502929687,-0.24899697265624998
4.168337345123291,-0.005595712105630674,-0.5195417602539062,-0.24660277099609373
4.188503980636597,-0.0057289433462409285,-0.47884033203125,-0.21068974609375
4.20871639251709,-0.005595712105630674,-0.46208092041015625,-0.22505495605468748
4.228448867797852,-0.0039969372183076245,-0.49320554199218747,-0.2346317626953125
4.248340845108032,-0.008393568158446012,-0.5219359619140624,-0.21308394775390624
4.26857852935791,-0.004529862180748642,-0.5051765502929687,-0.24181436767578124
4.288757085800171,-0.004529862180748642,-0.47165772705078124,-0.2561795776367187
