time_s,wx_rad_s,wy_rad_s,wz_rad_s,ax_m_s2,ay_m_s2,az_m_s2
1.981933832168579,0.07234456365136802,0.01705359879811253,-0.005595712105630674,-0.5793968017578125,-0.2561795776367187,10.328585961914062
2.0019373893737793,0.07167840744831674,0.015854517632620246,-0.005196018383799912,-0.5458779785156249,-0.28490999755859375,10.299855541992187
2.021388292312622,0.07434303226052183,0.011724349173702367,-0.003863705977697371,-0.5410895751953124,-0.29448680419921874,10.328585961914062
2.0415921211242676,0.07740735079455767,0.01732006127933304,-0.002797856052815337,-0.5434837768554687,-0.2657563842773437,10.244788903808594
2.062035322189331,0.07341041357625004,0.022649310903743208,-0.006794793271122962,-0.5770026000976562,-0.27293898925781246,10.292672937011718
2.0818734169006348,0.07540888218540386,0.015454823910789483,-0.0058621745868511835,-0.5506663818359374,-0.24899697265624998,10.342951171874999
2.10174560546875,0.07833996947882944,0.015987748873230498,-0.005462480865020421,-0.5698199951171875,-0.26815058593749996,10.352527978515624
2.1219959259033203,0.0720781011701475,0.018785604926045835,-0.005062787143189658,-0.55545478515625,-0.2705447875976562,10.283096130371094
2.14192533493042,0.07754058203516792,0.020650842294589397,-0.004396630940138387,-0.5291185668945312,-0.2705447875976562,10.299855541992187
2.1618049144744873,0.0752756509447936,0.01438897398590745,-0.005196018383799912,-0.5506663818359374,-0.2705447875976562,10.32379755859375
2.1819822788238525,0.0752756509447936,0.016120980113840753,-0.0073277182335639785,-0.5578489868164063,-0.27293898925781246,10.302249743652343
2.201964855194092,0.07287748861380902,0.019984686091538122,-0.0035972434964768626,-0.5410895751953124,-0.30406361083984373,10.32379755859375
2.221769094467163,0.07754058203516792,0.016254211354451008,-0.007727411955394742,-0.5291185668945312,-0.2705447875976562,10.151415039062499
2.24141788482666,0.07394333853869106,0.020650842294589397,-0.0058621745868511835,-0.5578489868164063,-0.3112462158203125,10.328585961914062
2.261282205581665,0.07620826962906538,0.01345635530163567,-0.004929555902579405,-0.5674257934570313,-0.2657563842773437,10.328585961914062
2.282536745071411,0.07047932628282445,0.020917304775809907,-0.008526799399056265,-0.5865794067382812,-0.2609679809570312,10.311826550292968
2.3015553951263428,0.07620826962906538,0.015588055151399738,-0.005462480865020421,-0.5865794067382812,-0.2561795776367187,10.390835205078124
2.321436882019043,0.07620826962906538,0.016120980113840753,-0.005196018383799912,-0.55545478515625,-0.24899697265624998,10.295067138671874
2.3413572311401367,0.0750091884635731,0.018785604926045835,-0.004529862180748642,-0.55545478515625,-0.2920926025390625,10.321403356933594
2.3614346981048584,0.07594180714784488,0.01732006127933304,-0.0039969372183076245,-0.5506663818359374,-0.2609679809570312,10.275913525390624
2.382040023803711,0.07833996947882944,0.020917304775809907,-0.005462480865020421,-0.5602431884765625,-0.2537853759765625,10.328585961914062
2.4015705585479736,0.0738101072980808,0.017852986241774057,-0.0075941807147844875,-0.5219359619140624,-0.2753331909179687,10.307038146972655
2.4215431213378906,0.07780704451638844,0.014788667707738212,-0.002531393571594829,-0.5434837768554687,-0.2537853759765625,10.283096130371094
2.441765785217285,0.07487595722296284,0.02105053601642016,-0.006528330789902454,-0.5746083984375,-0.2753331909179687,10.333374365234375
2.461338758468628,0.0747427259823526,0.017986217482384312,-0.004263399699528133,-0.5267243652343749,-0.2657563842773437,10.364498986816406
2.4817304611206055,0.07434303226052183,0.016254211354451008,-0.005462480865020421,-0.5482721801757812,-0.26336218261718747,10.304643945312499
2.5016236305236816,0.07860643196004995,0.01705359879811253,-0.006128637068071691,-0.5195417602539062,-0.277727392578125,10.290278735351562
2.5214428901672363,0.07687442583211665,0.015188361429568975,-0.004529862180748642,-0.584185205078125,-0.2920926025390625,10.266336718749999
2.5414671897888184,0.0738101072980808,0.015588055151399738,-0.006794793271122962,-0.5482721801757812,-0.28012159423828126,10.299855541992187
2.561483383178711,0.07594180714784488,0.020251148572758632,-0.0033307810152563544,-0.5817910034179687,-0.28490999755859375,10.330980163574218
2.5823638439178467,0.07434303226052183,0.019318529888486854,-0.004263399699528133,-0.5626373901367188,-0.277727392578125,10.307038146972655
2.601816415786743,0.080205206847373,0.012923430339194655,-0.007061255752343471,-0.5219359619140624,-0.29448680419921874,10.283096130371094
2.62155818939209,0.07514241970418334,0.014788667707738212,-0.0019984686091538122,-0.5578489868164063,-0.2561795776367187,10.275913525390624
2.641413688659668,0.07567534466662437,0.018918836166656093,-0.00479632466196915,-0.5722141967773438,-0.26336218261718747,10.295067138671874
2.6618030071258545,0.0752756509447936,0.015854517632620246,-0.0095926493239383,-0.4955997436523437,-0.28490999755859375,10.314220751953124
2.6815574169158936,0.0770076570727269,0.018119448722994567,-0.005329249624410167,-0.5243301635742187,-0.2657563842773437,10.328585961914062
2.7020483016967773,0.07540888218540386,0.01705359879811253,-0.0063950995492922,-0.55545478515625,-0.229843359375,10.333374365234375
2.721975564956665,0.07301071985441929,0.017986217482384312,-0.007860643196004996,-0.5770026000976562,-0.2920926025390625,10.35492218017578
2.7420544624328613,0.07540888218540386,0.01851914244482533,-0.005196018383799912,-0.565031591796875,-0.23702596435546874,10.31661495361328
2.7615370750427246,0.0750091884635731,0.018385911204215073,-0.005995405827461438,-0.5291185668945312,-0.28490999755859375,10.350133776855468
2.7815496921539307,0.07367687605747056,0.019052067407266345,-0.006528330789902454,-0.5626373901367188,-0.2753331909179687,10.295067138671874
2.8027708530426025,0.0770076570727269,0.014788667707738212,-0.0073277182335639785,-0.5243301635742187,-0.26815058593749996,10.268730920410155
2.82177996635437,0.0770076570727269,0.023581929588014985,-0.007993874436615249,-0.5458779785156249,-0.29448680419921874,10.338162768554687
2.8416061401367188,0.07514241970418334,0.017453292519943295,-0.002264931090374321,-0.5458779785156249,-0.28490999755859375,10.319009155273436
2.8613152503967285,0.07873966320066021,0.014522205226517705,-0.0057289433462409285,-0.5698199951171875,-0.2825157958984375,10.381258398437499
2.8821933269500732,0.07394333853869106,0.013056661579804908,-0.0057289433462409285,-0.5506663818359374,-0.296881005859375,10.311826550292968
2.9019827842712402,0.0764747321102859,0.017719755001163805,-0.004929555902579405,-0.5123591552734374,-0.2825157958984375,10.321403356933594
2.9223620891571045,0.07660796335089615,0.02145022973825092,-0.002531393571594829,-0.5530605834960938,-0.3016694091796875,10.299855541992187
2.9415721893310547,0.07687442583211665,0.016787136316892024,-0.0035972434964768626,-0.5698199951171875,-0.2825157958984375,10.345345373535155
2.961421012878418,0.07487595722296284,0.02105053601642016,-0.005595712105630674,-0.5434837768554687,-0.3064578125,10.330980163574218
2.981387138366699,0.07354364481686029,0.01692036755750228,-0.005062787143189658,-0.5506663818359374,-0.28490999755859375,10.297461340332031
3.0021111965179443,0.07341041357625004,0.01958499236970736,-0.002264931090374321,-0.5602431884765625,-0.316034619140625,10.299855541992187
3.0215585231781006,0.07727411955394742,0.022915773384963714,-0.009192955602107537,-0.5363011718749999,-0.2825157958984375,10.254365710449218
3.041628360748291,0.07247779489197827,0.01732006127933304,-0.0035972434964768626,-0.5722141967773438,-0.296881005859375,10.311826550292968
3.0614495277404785,0.06981317007977318,0.020384379813368887,-0.0037304747370871167,-0.5410895751953124,-0.2705447875976562,10.297461340332031
3.081648826599121,0.07607503838845513,0.019984686091538122,-0.0063950995492922,-0.5722141967773438,-0.296881005859375,10.352527978515624
