time_s,x_m,y_m,yaw_rad,vx_m_s,vy_m_s,wz_rad_s
0.8583624362945557,0.0,0.0,0.0,2.7719221164820666e-12,6.924091154470892e-21,6.950724556093289e-45
0.9582631587982178,5.329070518200751e-15,-1.7763568394002505e-15,0.0,2.6047784035018837e-12,6.506356722045537e-21,3.0891880137707327e-44
1.0585012435913086,7.105427357601002e-15,-2.220446049250313e-15,0.0,2.4425813976620167e-12,6.1012459258154544e-21,-2.938358606809197e-44
1.1582581996917725,1.3322676295501878e-14,-3.9968028886505635e-15,0.0,2.295042797570857e-12,5.732682032960528e-21,2.6940582663406935e-44
1.258171796798706,1.509903313490213e-14,-4.440892098500626e-15,0.0,2.1521149425540124e-12,5.3756759715753794e-21,-5.2765071103770594e-45
1.3581492900848389,1.9539925233402755e-14,-5.773159728050814e-15,0.0,2.022105471618813e-12,5.050747433754436e-21,1.3629527654872225e-43
1.4583697319030762,2.042810365310288e-14,-6.217248937900877e-15,0.0,1.8962753950765724e-12,4.7363447064349016e-21,7.359075810183342e-44
1.5588891506195068,2.5757174171303632e-14,-7.327471962526033e-15,0.0,1.781645846954112e-12,4.449922482570826e-21,7.258098675912162e-44
1.6585981845855713,2.6645352591003757e-14,-7.771561172376096e-15,0.0,1.6707878714244625e-12,4.1731936584478046e-21,-9.273405983530798e-44
1.7581157684326172,3.108624468950438e-14,-8.659739592076221e-15,0.0,1.5698626811138663e-12,3.921105960195253e-21,1.624247776012178e-45
1.8581042289733887,3.197442310920451e-14,-9.103828801926284e-15,0.0,1.4721113749256417e-12,3.677052278570127e-21,-5.442199224989366e-44
1.9581308364868164,3.4638958368304884e-14,-1.021405182655144e-14,0.0,1.3831554797142374e-12,3.454887300342455e-21,-1.5148049281033126e-44
2.0583107471466064,3.552713678800501e-14,-1.0436096431476471e-14,0.0,1.2970827698823224e-12,3.2396833096285436e-21,9.689028254405477e-44
2.15964674949646,3.8191672047105385e-14,-1.1102230246251565e-14,0.0,1.2186366777918822e-12,3.04374243131769e-21,3.8095807239356315e-45
2.2583963871002197,3.9968028886505635e-14,-1.1324274851176597e-14,0.0,1.1428426001195162e-12,2.8542792622419534e-21,6.342261582117431e-44
2.358187198638916,4.263256414560601e-14,-1.2212453270876722e-14,0.0,1.0737372773573378e-12,2.6819113739920992e-21,-8.848028783391168e-44
2.4595210552215576,4.3520742565306136e-14,-1.2434497875801753e-14,0.0,1.0069241536524046e-12,2.5151903556279306e-21,-5.77588422906518e-44
2.5582268238067627,4.529709940470639e-14,-1.3100631690576847e-14,0.0,9.459024673759745e-13,2.3628864668708553e-21,-4.2226394532565253e-44
2.936115264892578,4.618527782440651e-14,-1.3322676295501878e-14,0.0,8.870852415194977e-13,2.2160037990706925e-21,-1.4005053657691676e-44
2.936375379562378,4.707345624410664e-14,-1.3988810110276972e-14,0.0,8.334098770768018e-13,2.0819760922487883e-21,-1.7514511219285101e-44
2.9364869594573975,4.796163466380676e-14,-1.4210854715202004e-14,0.0,7.816534717053412e-13,1.952635683329737e-21,1.2754538577616994e-44
2.958242416381836,4.973799150320701e-14,-1.4432899320127035e-14,0.0,7.344652187799591e-13,1.8345138917469135e-21,6.524180409654429e-44
3.0581724643707275,5.062616992290714e-14,-1.4654943925052066e-14,0.0,6.887394167306478e-13,1.720265983077186e-21,8.877917032184453e-45
3.158210039138794,5.240252676230739e-14,-1.509903313490213e-14,0.0,6.471049735519549e-13,1.6163092374437489e-21,-8.007302414117672e-45
3.25821590423584,5.240252676230739e-14,-1.509903313490213e-14,0.0,6.068144650346277e-13,1.5156172455202495e-21,1.218320466071353e-44
3.3581995964050293,5.417888360170764e-14,-1.554312234475219e-14,0.0,5.701730733451686e-13,1.424138288322484e-21,-8.141171820278609e-45
3.458219051361084,5.417888360170764e-14,-1.5765166949677223e-14,0.0,5.346534872206136e-13,1.3354638357724186e-21,-8.37657548598596e-45
3.558364152908325,5.595524044110789e-14,-1.5987211554602254e-14,0.0,5.020467334757348e-13,1.2540060342446088e-21,2.2423728150349817e-45
3.658250570297241,5.595524044110789e-14,-1.6209256159527285e-14,0.0,4.710981246521374e-13,1.1767680717631711e-21,-1.105579892677985e-44
3.7582733631134033,5.684341886080802e-14,-1.6431300764452317e-14,0.0,4.4262746243485453e-13,1.1056259368690897e-21,3.989384544992305e-45
3.85827898979187,5.773159728050814e-14,-1.6653345369377348e-14,0.0,4.150874259993575e-13,1.036761187399257e-21,1.0878769770892902e-44
3.9582250118255615,5.861977570020827e-14,-1.687538997430238e-14,0.0,3.9000039528504303e-13,9.742029110999973e-22,-1.4530397019894943e-44
4.058321475982666,5.861977570020827e-14,-1.709743457922741e-14,0.0,3.657291290849767e-13,9.13561747449572e-22,1.6553797321763332e-45
4.1582190990448,5.950795411990839e-14,-1.7319479184152442e-14,0.0,3.436303224001164e-13,8.58271175672632e-22,1.1303865269462454e-44
4.258255243301392,6.039613253960852e-14,-1.7319479184152442e-14,0.0,3.2223544858706065e-13,8.047694726104559e-22,7.438698426201563e-45
4.358288288116455,6.039613253960852e-14,-1.7541523789077473e-14,0.0,3.02768531135085e-13,7.563464809052112e-22,-2.1672897557165928e-44
4.458168029785156,6.128431095930864e-14,-1.7541523789077473e-14,0.0,2.8392103701897515e-13,7.093827615733373e-22,-1.2096120275512256e-44
4.55864405632019,6.039613253960852e-14,-1.7763568394002505e-14,0.0,2.6666110001584995e-13,6.664203965965884e-22,-1.5776431497046552e-44
4.658221960067749,6.128431095930864e-14,-1.7985612998927536e-14,0.0,2.5015970325160584e-13,6.25159883257516e-22,1.923263327301212e-45
4.758234024047852,6.128431095930864e-14,-1.7763568394002505e-14,0.0,2.349928760348252e-13,5.87213808454775e-22,3.7452261536480885e-45
4.858261585235596,6.217248937900877e-14,-1.7985612998927536e-14,0.0,2.203743460561756e-13,5.506825233422507e-22,1.3050260080985244e-46
4.958801031112671,6.217248937900877e-14,-1.7985612998927536e-14,0.0,2.0709020203059814e-13,5.175737483434903e-22,-6.581312056739372e-45
5.0583460330963135,6.217248937900877e-14,-1.7985612998927536e-14,0.0,1.9416969337856258e-13,4.852083116509085e-22,5.0978583478199364e-45
5.158276796340942,6.306066779870889e-14,-1.8207657603852567e-14,0.0,1.8246523292414813e-13,4.559566229416349e-22,2.3878579496109858e-46
