time_s,x_m,y_m,yaw_rad,vx_m_s,vy_m_s,wz_rad_s
0.03622889518737793,0.0,0.0,0.0,0.0,0.0,0.0
0.13459277153015137,0.0,0.0,0.0,0.0,0.0,0.0
0.23627066612243652,0.0,0.0,0.0,0.0,0.0,0.0
0.3346378803253174,0.0,0.0,0.0,0.0,0.0,0.0
0.43650269508361816,0.0,0.0,0.0,0.0,0.0,0.0
0.5349471569061279,0.0,0.0,0.0,0.0,0.0,0.0
0.636345624923706,0.0,0.0,0.0,-0.0005,0.0,0.0
0.734745979309082,0.0,0.0,0.0,0.0,0.0,0.0
0.8366138935089111,0.0,0.0,0.0,0.0,0.0,0.0
0.9349701404571533,0.0,0.0,0.0,0.0,0.0,0.0
1.0365307331085205,0.0,0.0,0.0,0.0,0.0,0.0
1.1350040435791016,0.0,0.0,0.0,0.0,0.0,0.0
1.2376229763031006,0.0,0.0,0.0,0.0,0.0,0.0
1.334953784942627,0.0,0.0,0.0,0.0,0.0,0.0
1.4365050792694092,0.0,0.0,0.0,0.0,0.0,0.0
1.5350606441497803,0.0,0.0,0.0,0.0,0.0,0.0
1.6370089054107666,0.0,0.0,0.0,0.0,0.0,0.0
1.7355015277862549,0.0,0.0,0.0,0.0,0.0,0.0
1.8366756439208984,0.0,0.0,0.0,0.0,0.0,0.0
1.9353673458099365,0.0,0.0,0.0,0.0,0.0,0.0
2.0368144512176514,0.0,0.0,0.0,0.0,0.0,0.0
2.1354153156280518,0.0,0.0,0.0,0.0,0.0,0.0
2.2369918823242188,0.0,0.0,0.0,0.0,0.0,0.0
2.335461378097534,0.0,0.0,0.0,0.0,0.0,0.0
2.437030076980591,0.0,0.0,0.0,0.0,0.0,0.0
2.536088466644287,0.0,0.0,0.0,0.0,0.0,0.0
2.9358997344970703,0.0,0.0,0.0,0.0,0.0,0.0
2.9360861778259277,0.0,0.0,0.0,0.0,0.0,0.0
2.9363512992858887,0.0,0.0,0.0,0.0,0.0,0.0
2.9364657402038574,0.0,0.0,0.0,0.0,0.0,0.0
3.0371663570404053,0.0,0.0,0.0,0.0,0.0,0.0
3.1358330249786377,0.0,0.0,0.0,0.0,0.0,0.0
3.2373414039611816,0.0,0.0,0.0,0.0,0.0,0.0
3.335667610168457,0.0,0.0,0.0,0.0,0.0,0.0
3.4374327659606934,0.0,0.0,0.0,0.0,0.0,0.0
3.5372326374053955,0.0,0.0,0.0,0.0,0.0,0.0
3.6377477645874023,0.0,0.0,0.0,0.0,0.0,0.0
3.736330032348633,0.0,0.0,0.0,0.0,0.0,0.0
3.837451934814453,0.0,0.0,0.0,0.0,0.0,0.0
3.9359254837036133,0.0,0.0,0.0,0.0,0.0,0.0
4.037496328353882,0.0,0.0,0.0,0.0,0.0,0.0
4.135985374450684,0.0,0.0,0.0,0.0,0.0,0.0
4.237613201141357,0.0,0.0,0.0,0.0,0.0,0.0
4.336005449295044,0.0,0.0,0.0,0.0,0.0,0.0
4.437647342681885,0.0,0.0,0.0,0.0,0.0,0.0
4.536738395690918,0.0,0.0,0.0,0.0,0.0,0.0
4.637758016586304,0.0,0.0,0.0,0.0,0.0,0.0
4.736598253250122,0.0,0.0,0.0,0.0,0.0,0.0
4.838093280792236,0.0,0.0,0.0,0.0,0.0,0.0
4.936263084411621,0.0,0.0,0.0,0.0,0.0,0.0
5.038395166397095,0.0,0.0,0.0,0.0,0.0,0.0
5.1368489265441895,0.0,0.0,0.0,0.0,0.0,0.0
5.238847732543945,0.0,0.0,0.0,0.0,0.0,0.0
5.336573600769043,0.0,0.0,0.0,0.0,0.0,0.0
5.438023328781128,0.0,0.0,0.0,0.0,0.0,0.0
5.537511348724365,0.0,0.0,0.0,0.0,0.0,0.0
5.638212442398071,0.0,0.0,0.0,0.0,0.0,0.0
5.736807107925415,0.0,0.0,0.0,0.0,0.0,0.0
5.8383097648620605,0.0,0.0,0.0,0.0,0.0,0.0
5.936840534210205,0.0,0.0,0.0,0.0,0.0,0.0
6.038510084152222,0.0,0.0,0.0,0.0,0.0,0.0
6.1371071338653564,0.0,0.0,0.0,0.0,0.0,0.0
6.239750623703003,0.0,0.0,0.0,0.0,0.0,0.0
